h,Phi_v,dPhi_v
849.67,2.17e-06,2e-08
1499.67,3.9e-07,8e-09
1839.67,1.91e-07,4e-09
1573.67,3.25e-07,5e-09
99.67,0.000287,2.3e-05
380.67,1.76e-05,2.4e-06
474.67,1.24e-05,1.3e-06
683.67,5.55e-05,7e-06
884.67,2.37e-06,2.7e-07
299.67,3.8e-05,1.7e-06
579.67,7.3e-06,4e-07
1279.67,8e-07,6e-08
822.67,2.51e-06,1.5e-07
1877.67,1.77e-07,7e-09
138.67,0.00017,4e-06
288.67,4.6e-05,1e-07
1308.67,5.6e-07,7e-09
815.67,2.39e-06,1.5e-07
1870.67,2e-07,1.2e-08
753.67,2.7e-06,1e-07
1499.67,3.4e-07,1e-08
61.269999999999996,0.0005,1.7e-05
723.67,3.12e-06,1.5e-07
1057.67,1.03e-06,4e-08
879.67,1.65e-06,9e-08
