p_low,p_high,p_avg,N_mu+,F_mu+,dF_mu+,N_mu-,F_mu-,dF_mu-
0.247,0.321,0.283,164.0,23.9,2.39,133.0,15.95,1.7545
0.321,0.393,0.356,188.0,20.13,1.7714400000000001,231.0,20.64,1.63056
0.393,0.463,0.428,260.0,22.79,1.6180899999999998,232.0,17.59,1.3016600000000003
0.463,0.564,0.513,439.0,21.28,1.23424,418.0,17.88,1.05492
0.564,0.633,0.598,326.0,20.23,1.2744900000000001,299.0,16.6,1.0790000000000002
0.633,0.722,0.677,442.0,19.61,1.0981599999999998,418.0,16.73,0.97034
0.722,0.841,0.78,637.0,19.39,0.93072,577.0,16.49,0.8409899999999999
0.841,1.008,0.922,904.0,18.14,0.74374,698.0,13.65,0.6415500000000001
1.008,1.198,1.101,794.0,16.09,0.6436000000000001,795.0,13.16,0.5922
1.198,1.478,1.334,1240.0,13.28,0.47808000000000006,992.0,10.94,0.44853999999999994
1.478,1.931,1.694,1674.0,10.93,0.34976,1313.0,8.756,0.32397200000000004
1.931,2.508,2.205,1512.0,7.705,0.254265,1299.0,6.789,0.244404
2.508,3.579,3.004,1976.0,5.404,0.156716,1514.0,4.244,0.140052
3.579,5.008,4.238,1535.0,3.145,0.097495,1252.0,2.634,0.09219000000000001
5.008,8.341,6.456,1700.0,1.506,0.046686,1408.0,1.274,0.042042
8.341,12.51,10.19,839.0,0.5983,0.023333700000000002,696.0,0.5025,0.021607499999999995
12.51,16.68,14.42,349.0,0.2523,0.014381100000000003,290.0,0.2124,0.0131688
16.68,25.01,20.36,349.0,0.1246,0.0071022,245.0,0.08653,0.00579751
25.01,33.34,28.8,134.0,0.04709,0.004143920000000001,105.0,0.03788,0.00375012
33.34,50.01,40.64,87.0,0.0143,0.0016159,87.0,0.01389,0.00159735
50.01,100.01,70.16,101.0,0.005176,0.000553832,54.0,0.002423,0.000382834
