p_low,p_high,P_avg_mu+,P_avg_mu-,F_mu+,dF_stat_mu+,dF_sys_mu+,F_mu-,dF_stat_mu-,dF_sys_mu-
0.576,0.621,0.599,0.598,13.4,0.2,0.3,12.5,0.2,0.3
0.621,0.669,0.645,0.644,13.3,0.2,0.3,12.2,0.2,0.3
0.669,0.72,0.694,0.694,13.200000000000001,0.2,0.3,11.899999999999999,0.2,0.3
0.72,0.776,0.748,0.748,12.7,0.2,0.3,11.5,0.2,0.2
0.776,0.836,0.806,0.806,12.6,0.2,0.3,11.299999999999999,0.1,0.2
0.836,0.901,0.869,0.868,12.3,0.1,0.3,10.8,0.1,0.2
0.901,0.97,0.934,0.936,12.1,0.1,0.3,10.600000000000001,0.1,0.2
0.97,1.04,1.01,1.01,11.6,0.1,0.2,10.0,0.1,0.2
1.04,1.13,1.08,1.08,11.0,0.1,0.2,9.6,0.1,0.2
1.13,1.21,1.17,1.17,10.700000000000001,0.1,0.2,9.1,0.1,0.2
1.21,1.31,1.26,1.26,10.2,0.1,0.2,8.8,0.1,0.2
1.31,1.41,1.36,1.36,9.78,0.1,0.21,8.53,0.1,0.18
1.41,1.52,1.46,1.46,9.38,0.1,0.2,8.01,0.09,0.17
1.52,1.63,1.57,1.57,8.72,0.09,0.18,7.53,0.08,0.16
1.63,1.76,1.7,1.7,8.59,0.09,0.18,7.22,0.08,0.15
1.76,1.9,1.83,1.83,7.85,0.08,0.17,6.72,0.07,0.14
1.9,2.04,1.97,1.97,7.41,0.07,0.16,6.28,0.07,0.13
2.04,2.2,2.12,2.12,7.03,0.07,0.15,5.71,0.06,0.12
2.2,2.37,2.28,2.29,6.38,0.06,0.13,5.36,0.06,0.11
2.37,2.55,2.46,2.46,6.01,0.06,0.13,4.92,0.05,0.1
2.55,2.75,2.65,2.65,5.45,0.05,0.13,4.62,0.05,0.1
2.75,2.96,2.86,2.86,5.02,0.05,0.12,4.09,0.05,0.09
2.96,3.19,3.08,3.08,4.62,0.05,0.11,3.69,0.04,0.08
3.19,3.44,3.32,3.31,4.17,0.04,0.1,3.31,0.04,0.07
3.44,3.71,3.57,3.57,3.79,0.04,0.09,3.06,0.04,0.06
3.71,3.99,3.85,3.85,3.37,0.04,0.08,2.7,0.03,0.06
3.99,4.3,4.14,4.14,3.02,0.03,0.07,2.37,0.03,0.05
4.3,4.63,4.47,4.47,2.74,0.03,0.06,2.11,0.03,0.04
4.63,4.99,4.81,4.81,2.41,0.03,0.06,1.87,0.02,0.04
4.99,5.38,5.18,5.18,2.11,0.02,0.05,1.66,0.02,0.04
5.38,5.79,5.58,5.58,1.87,0.02,0.04,1.46,0.02,0.03
5.79,6.24,6.01,6.01,1.63,0.02,0.04,1.24,0.02,0.03
6.24,6.73,6.48,6.48,1.44,0.02,0.03,1.13,0.02,0.02
6.73,7.25,6.98,6.98,1.21,0.02,0.03,0.96,0.01,0.02
7.25,7.81,7.52,7.52,1.06,0.01,0.02,0.83,0.01,0.02
7.81,8.41,8.1,8.1,0.911,0.013000000000000001,0.021,0.6930000000000001,0.011000000000000001,0.015
8.41,9.06,8.72,8.72,0.807,0.011000000000000001,0.019000000000000003,0.6080000000000001,0.010000000000000002,0.013000000000000001
9.06,9.76,9.4,9.4,0.706,0.010000000000000002,0.016,0.515,0.009,0.011000000000000001
9.76,10.5,10.1,10.1,0.5670000000000001,0.009,0.013000000000000001,0.454,0.008,0.010000000000000002
10.5,11.3,10.9,10.9,0.49000000000000005,0.008,0.011000000000000001,0.385,0.007000000000000001,0.008
11.3,12.2,11.8,11.8,0.438,0.007000000000000001,0.010000000000000002,0.32400000000000007,0.006,0.007000000000000001
12.2,13.2,12.7,12.7,0.35800000000000004,0.006,0.008,0.274,0.006,0.006
13.2,14.2,13.6,13.7,0.307,0.006,0.007000000000000001,0.231,0.005000000000000001,0.005000000000000001
14.2,15.3,14.7,14.7,0.24900000000000003,0.005000000000000001,0.006,0.197,0.004,0.004
15.3,16.4,15.8,15.8,0.213,0.004,0.005000000000000001,0.168,0.004,0.004
16.4,17.7,17.1,17.0,0.17600000000000002,0.004,0.004,0.13999999999999999,0.003,0.003
17.7,19.1,18.4,18.4,0.149,0.003,0.003,0.11499999999999999,0.003,0.002
19.1,20.6,19.8,19.8,0.122,0.003,0.003,0.096,0.003,0.002
20.6,23.9,22.1,22.1,0.09570000000000001,0.0009,0.0022,0.0736,0.0008,0.0015
23.9,27.7,25.6,25.6,0.0669,0.0007000000000000001,0.0016,0.0504,0.0006,0.0011
27.7,32.1,29.7,29.8,0.0452,0.0006,0.001,0.0348,0.0005,0.0007000000000000001
32.1,37.3,34.5,34.5,0.029300000000000003,0.0004,0.0007000000000000001,0.0226,0.0004,0.0005
37.3,43.3,40.1,40.1,0.0201,0.0003,0.0005,0.015500000000000002,0.0003,0.0003
43.3,50.2,46.5,46.5,0.0131,0.0002,0.0003,0.010400000000000001,0.0002,0.0002
50.2,58.3,54.0,54.0,0.00876,0.00017999999999999998,0.00022,0.00691,0.00016,0.00016
58.3,67.7,62.7,62.7,0.00572,0.00014000000000000001,0.00015,0.00454,0.00012,0.00011
67.7,78.5,72.8,72.8,0.00401,0.00011,0.00011,0.0028799999999999997,8.999999999999999e-05,8e-05
78.5,91.1,84.4,84.5,0.0025499999999999997,8e-05,8e-05,0.00193,7.000000000000001e-05,6e-05
91.1,106.0,98.0,97.7,0.0015500000000000002,6e-05,5e-05,0.00117,5e-05,4e-05
106.0,132.0,118.0,117.0,0.000943,4.3e-05,4e-05,0.0006950000000000001,3.7e-05,2.8000000000000003e-05
132.0,165.0,147.0,146.0,0.000426,2.6000000000000002e-05,2.2000000000000003e-05,0.000365,2.4e-05,1.8e-05
165.0,207.0,184.0,185.0,0.000251,1.8e-05,1.5e-05,0.000147,1.4000000000000001e-05,9e-06
207.0,258.0,229.0,228.0,0.000118,1.1000000000000001e-05,9e-06,7.500000000000001e-05,9e-06,6e-06
258.0,323.0,286.0,286.0,5.580000000000001e-05,6.800000000000001e-06,5.2e-06,4.13e-05,5.8e-06,3.900000000000001e-06
323.0,404.0,359.0,355.0,2.5600000000000002e-05,4.1e-06,3e-06,2.4500000000000003e-05,4.000000000000001e-06,2.8000000000000003e-06
