f_neg,fast,Chi_sq
0,0,Inf
0,0.001,26080.11156
0,0.002,12872.37249
0,0.003,8470.549815
0,0.004,6270.206236
0,0.005,4950.454296
0,0.006,4070.998175
0,0.007,3443.139665
0,0.008,2972.529662
0,0.009,2606.751997
0,0.01,2314.356969
0,0.011,2075.331131
0,0.012,1876.332185
0,0.013,1708.123157
0,0.014,1564.106207
0,0.015,1439.44292
0,0.016,1330.504483
0,0.017,1234.515923
0,0.018,1149.318927
0,0.019,1073.209564
0,0.02,1004.82469
0,0.021,943.0608049
0,0.022,887.0150476
0,0.023,835.941575
0,0.024,789.2188517
0,0.025,746.3247877
0,0.026,706.8176146
0,0.027,670.3210112
0,0.028,636.5124164
0,0.029,605.1137605
0,0.03,575.8840495
0,0.031,548.6133855
0,0.032,523.1181079
0,0.033,499.2368179
0,0.034,476.8271048
0,0.035,455.7628335
0,0.036,435.9318838
0,0.037,417.2342567
0,0.038,399.5804793
0,0.039,382.8902556
0,0.04,367.0913189
0,0.041,352.1184532
0,0.042,337.9126533
0,0.043,324.4204031
0,0.044,311.5930515
0,0.045,299.3862719
0,0.046,287.7595921
0,0.047,276.6759846
0,0.048,266.1015073
0,0.049,256.004989
0,0.05,246.3577522
0,0.051,237.1333684
0,0.052,228.3074425
0,0.053,219.8574201
0,0.054,211.7624176
0,0.055,204.0030705
0,0.056,196.5613971
0,0.057,189.4206778
0,0.058,182.565346
0,0.059,175.9808905
0,0.06,169.6537674
0,0.061,163.5713211
0,0.062,157.7217123
0,0.063,152.0938535
0,0.064,146.6773503
0,0.065,141.4624478
0,0.066,136.4399822
0,0.067,131.601337
0,0.068,126.9384025
0,0.069,122.4435391
0,0.07,118.1095437
0,0.071,113.9296192
0,0.072,109.8973458
0,0.073,106.0066557
0,0.074,102.2518091
0,0.075,98.62737219
0,0.076,95.12819727
0,0.077,91.74940398
0,0.078,88.48636225
0,0.079,85.33467647
0,0.08,82.29017078
0,0.081,79.34887555
0,0.082,76.50701478
0,0.083,73.76099447
0,0.084,71.10739173
0,0.085,68.54294478
0,0.086,66.06454351
0,0.087,63.66922085
0,0.088,61.35414457
0,0.089,59.11660972
0,0.09,56.95403161
0,0.091,54.86393912
0,0.092,52.8439686
0,0.093,50.89185805
0,0.094,49.00544171
0,0.095,47.18264505
0,0.096,45.42147994
0,0.097,43.72004025
0,0.098,42.07649766
0,0.099,40.4890977
0,0.1,38.9561561
0,0.101,37.47605528
0,0.102,36.0472411
0,0.103,34.66821978
0,0.104,33.33755499
0,0.105,32.0538651
0,0.106,30.81582064
0,0.107,29.62214184
0,0.108,28.47159631
0,0.109,27.36299689
0,0.11,26.29519961
0,0.111,25.2671017
0,0.112,24.27763979
0,0.113,23.32578814
0,0.114,22.41055701
0,0.115,21.53099108
0,0.116,20.68616797
0,0.117,19.87519685
0,0.118,19.09721707
0,0.119,18.35139691
0,0.12,17.63693239
0,0.121,16.95304609
0,0.122,16.29898608
0,0.123,15.67402491
0,0.124,15.07745856
0,0.125,14.50860556
0,0.126,13.96680606
0,0.127,13.45142101
0,0.128,12.96183132
0,0.129,12.4974371
0,0.13,12.05765691
0,0.131,11.64192707
0,0.132,11.24970099
0,0.133,10.8804485
0,0.134,10.53365527
0,0.135,10.2088222
0,0.136,9.905464888
0,0.137,9.62311305
0,0.138,9.36131005
0,0.139,9.119612386
0,0.14,8.89758923
0,0.141,8.694821976
0,0.142,8.510903809
0,0.143,8.345439294
0,0.144,8.198043979
0,0.145,8.068344018
0,0.146,7.955975809
0,0.147,7.860585643
0,0.148,7.78182937
0,0.149,7.719372079
0,0.15,7.672887791
0,0.151,7.642059161
0,0.152,7.626577196
0,0.153,7.626140981
0,0.154,7.640457417
0,0.155,7.669240969
0,0.156,7.712213423
0,0.157,7.769103653
0,0.158,7.839647398
0,0.159,7.923587045
0,0.16,8.02067142
0,0.161,8.130655591
0,0.162,8.253300672
0,0.163,8.388373641
0,0.164,8.535647157
0,0.165,8.694899394
0,0.166,8.865913867
0,0.167,9.04847928
0,0.168,9.242389366
0,0.169,9.447442739
0,0.17,9.663442754
0,0.171,9.890197365
0,0.172,10.12751899
0,0.173,10.37522439
0,0.174,10.63313453
0,0.175,10.90107447
0,0.176,11.17887325
0,0.177,11.46636378
0,0.178,11.7633827
0,0.179,12.06977032
0,0.18,12.38537051
0,0.181,12.71003056
0,0.182,13.04360113
0,0.183,13.38593616
0,0.184,13.73689274
0,0.185,14.09633106
0,0.186,14.46411433
0,0.187,14.84010866
0,0.188,15.22418303
0,0.189,15.61620918
0,0.19,16.01606156
0,0.191,16.42361725
0,0.192,16.83875588
0,0.193,17.26135957
0,0.194,17.6913129
0,0.195,18.12850279
0,0.196,18.57281847
0,0.197,19.02415143
0,0.198,19.48239536
0,0.199,19.94744605
0,0.2,20.41920142
0.001,0,29549.53999
0.001,0.001,12641.47143
0.001,0.002,8262.375361
0.001,0.003,6125.12418
0.001,0.004,4847.020091
0.001,0.005,3994.288054
0.001,0.006,3384.217818
0.001,0.007,2925.941089
0.001,0.008,2569.029622
0.001,0.009,2283.207534
0.001,0.01,2049.182995
0.001,0.011,1854.074591
0.001,0.012,1688.949921
0.001,0.013,1547.41856
0.001,0.014,1424.787114
0.001,0.015,1317.530549
0.001,0.016,1222.949693
0.001,0.017,1138.942619
0.001,0.018,1063.848026
0.001,0.019,996.3354784
0.001,0.02,935.3269025
0.001,0.021,879.9394408
0.001,0.022,829.4431614
0.001,0.023,783.2293101
0.001,0.024,740.786159
0.001,0.025,701.6804111
0.001,0.026,665.5427248
0.001,0.027,632.0563313
0.001,0.028,600.9479995
0.001,0.029,571.9808034
0.001,0.03,544.9482845
0.001,0.031,519.6697061
0.001,0.032,495.9861681
0.001,0.033,473.7574048
0.001,0.034,452.8591312
0.001,0.035,433.1808295
0.001,0.036,414.6238941
0.001,0.037,397.1000686
0.001,0.038,380.5301223
0.001,0.039,364.8427254
0.001,0.04,349.9734878
0.001,0.041,335.8641351
0.001,0.042,322.4617995
0.001,0.043,309.7184064
0.001,0.044,297.5901439
0.001,0.045,286.037
0.001,0.046,275.0223596
0.001,0.047,264.5126514
0.001,0.048,254.477038
0.001,0.049,244.8871431
0.001,0.05,235.716811
0.001,0.051,226.9418932
0.001,0.052,218.5400599
0.001,0.053,210.4906312
0.001,0.054,202.7744285
0.001,0.055,195.3736398
0.001,0.056,188.2717005
0.001,0.057,181.4531859
0.001,0.058,174.9037152
0.001,0.059,168.6098641
0.001,0.06,162.5590868
0.001,0.061,156.7396455
0.001,0.062,151.1405462
0.001,0.063,145.7514806
0.001,0.064,140.5627736
0.001,0.065,135.5653353
0.001,0.066,130.7506176
0.001,0.067,126.1105744
0.001,0.068,121.6376249
0.001,0.069,117.324621
0.001,0.07,113.1648165
0.001,0.071,109.1518394
0.001,0.072,105.2796661
0.001,0.073,101.5425982
0.001,0.074,97.93524069
0.001,0.075,94.452482
0.001,0.076,91.08947569
0.001,0.077,87.84162344
0.001,0.078,84.7045594
0.001,0.079,81.67413567
0.001,0.08,78.74640886
0.001,0.081,75.91762763
0.001,0.082,73.18422119
0.001,0.083,70.5427885
0.001,0.084,67.99008834
0.001,0.085,65.52303003
0.001,0.086,63.13866477
0.001,0.087,60.83417762
0.001,0.088,58.60687997
0.001,0.089,56.45420251
0.001,0.09,54.37368874
0.001,0.091,52.36298881
0.001,0.092,50.41985379
0.001,0.093,48.54213033
0.001,0.094,46.72775561
0.001,0.095,44.97475267
0.001,0.096,43.28122595
0.001,0.097,41.64535715
0.001,0.098,40.06540138
0.001,0.099,38.5396834
0.001,0.1,37.06659429
0.001,0.101,35.6445881
0.001,0.102,34.27217887
0.001,0.103,32.94793771
0.001,0.104,31.67049009
0.001,0.105,30.43851331
0.001,0.106,29.25073403
0.001,0.107,28.10592603
0.001,0.108,27.00290803
0.001,0.109,25.94054166
0.001,0.11,24.91772953
0.001,0.111,23.93341338
0.001,0.112,22.98657238
0.001,0.113,22.07622147
0.001,0.114,21.20140983
0.001,0.115,20.36121938
0.001,0.116,19.55476338
0.001,0.117,18.78118513
0.001,0.118,18.03965671
0.001,0.119,17.32937774
0.001,0.12,16.64957427
0.001,0.121,15.99949773
0.001,0.122,15.37842385
0.001,0.123,14.78565167
0.001,0.124,14.22050269
0.001,0.125,13.6823199
0.001,0.126,13.17046695
0.001,0.127,12.68432738
0.001,0.128,12.22330381
0.001,0.129,11.78681723
0.001,0.13,11.3743063
0.001,0.131,10.98522664
0.001,0.132,10.61905028
0.001,0.133,10.27526494
0.001,0.134,9.953373533
0.001,0.135,9.652893581
0.001,0.136,9.37335667
0.001,0.137,9.114307952
0.001,0.138,8.875305656
0.001,0.139,8.655920622
0.001,0.14,8.455735852
0.001,0.141,8.274346087
0.001,0.142,8.111357389
0.001,0.143,7.966386756
0.001,0.144,7.839061742
0.001,0.145,7.729020093
0.001,0.146,7.635909406
0.001,0.147,7.559386793
0.001,0.148,7.499118564
0.001,0.149,7.454779918
0.001,0.15,7.426054652
0.001,0.151,7.412634875
0.001,0.152,7.414220741
0.001,0.153,7.430520184
0.001,0.154,7.461248668
0.001,0.155,7.50612895
0.001,0.156,7.56489084
0.001,0.157,7.637270986
0.001,0.158,7.723012655
0.001,0.159,7.821865526
0.001,0.16,7.933585492
0.001,0.161,8.057934471
0.001,0.162,8.194680215
0.001,0.163,8.343596139
0.001,0.164,8.504461145
0.001,0.165,8.67705946
0.001,0.166,8.861180472
0.001,0.167,9.056618584
0.001,0.168,9.263173058
0.001,0.169,9.480647876
0.001,0.17,9.708851603
0.001,0.171,9.947597252
0.001,0.172,10.19670216
0.001,0.173,10.45598784
0.001,0.174,10.72527992
0.001,0.175,11.00440795
0.001,0.176,11.29320536
0.001,0.177,11.59150928
0.001,0.178,11.89916053
0.001,0.179,12.21600341
0.001,0.18,12.54188571
0.001,0.181,12.87665852
0.001,0.182,13.2201762
0.001,0.183,13.57229629
0.001,0.184,13.93287938
0.001,0.185,14.30178907
0.001,0.186,14.67889188
0.001,0.187,15.06405715
0.001,0.188,15.457157
0.001,0.189,15.85806624
0.001,0.19,16.26666229
0.001,0.191,16.68282513
0.001,0.192,17.10643722
0.001,0.193,17.53738345
0.001,0.194,17.97555106
0.001,0.195,18.4208296
0.001,0.196,18.87311085
0.001,0.197,19.33228877
0.001,0.198,19.79825948
0.001,0.199,20.27092115
0.001,0.2,20.75017397
0.002,0,14606.99972
0.002,0.001,8507.810214
0.002,0.002,6154.668713
0.002,0.003,4829.984667
0.002,0.004,3966.823957
0.002,0.005,3356.081759
0.002,0.006,2899.901643
0.002,0.007,2545.714149
0.002,0.008,2262.552876
0.002,0.009,2030.918317
0.002,0.01,1837.890134
0.002,0.011,1674.554935
0.002,0.012,1534.558293
0.002,0.013,1413.244617
0.002,0.014,1307.123206
0.002,0.015,1213.524345
0.002,0.016,1130.370749
0.002,0.017,1056.021507
0.002,0.018,989.1629817
0.002,0.019,928.7309495
0.002,0.02,873.8539895
0.002,0.021,823.8116493
0.002,0.022,778.0030644
0.002,0.023,735.9231024
0.002,0.024,697.1440061
0.002,0.025,661.3011081
0.002,0.026,628.0816022
0.002,0.027,597.2156317
0.002,0.028,568.4691561
0.002,0.029,541.6381955
0.002,0.03,516.5441505
0.002,0.031,493.0299711
0.002,0.032,470.9569994
0.002,0.033,450.2023524
0.002,0.034,430.6567392
0.002,0.035,412.222631
0.002,0.036,394.81272
0.002,0.037,378.3486131
0.002,0.038,362.7597228
0.002,0.039,347.9823181
0.002,0.04,333.9587117
0.002,0.041,320.63656
0.002,0.042,307.9682577
0.002,0.043,295.9104138
0.002,0.044,284.4233949
0.002,0.045,273.4709267
0.002,0.046,263.0197461
0.002,0.047,253.0392942
0.002,0.048,243.5014474
0.002,0.049,234.3802794
0.002,0.05,225.6518504
0.002,0.051,217.2940206
0.002,0.052,209.2862841
0.002,0.053,201.6096208
0.002,0.054,194.2463642
0.002,0.055,187.180083
0.002,0.056,180.3954751
0.002,0.057,173.8782723
0.002,0.058,167.6151539
0.002,0.059,161.5936701
0.002,0.06,155.8021714
0.002,0.061,150.2297452
0.002,0.062,144.866159
0.002,0.063,139.7018079
0.002,0.064,134.7276669
0.002,0.065,129.9352483
0.002,0.066,125.3165621
0.002,0.067,120.8640799
0.002,0.068,116.5707022
0.002,0.069,112.4297282
0.002,0.07,108.4348282
0.002,0.071,104.5800184
0.002,0.072,100.8596374
0.002,0.073,97.26832477
0.002,0.074,93.80100149
0.002,0.075,90.45285155
0.002,0.076,87.21930522
0.002,0.077,84.09602347
0.002,0.078,81.07888364
0.002,0.079,78.16396605
0.002,0.08,75.34754171
0.002,0.081,72.62606084
0.002,0.082,69.99614224
0.002,0.083,67.45456339
0.002,0.084,64.99825126
0.002,0.085,62.62427373
0.002,0.086,60.3298316
0.002,0.087,58.11225116
0.002,0.088,55.96897722
0.002,0.089,53.89756662
0.002,0.09,51.89568215
0.002,0.091,49.96108688
0.002,0.092,48.09163883
0.002,0.093,46.28528597
0.002,0.094,44.54006158
0.002,0.095,42.85407985
0.002,0.096,41.22553173
0.002,0.097,39.65268111
0.002,0.098,38.13386116
0.002,0.099,36.66747089
0.002,0.1,35.25197197
0.002,0.101,33.88588566
0.002,0.102,32.56778996
0.002,0.103,31.29631693
0.002,0.104,30.07015013
0.002,0.105,28.88802222
0.002,0.106,27.7487127
0.002,0.107,26.65104574
0.002,0.108,25.59388821
0.002,0.109,24.57614769
0.002,0.11,23.59677072
0.002,0.111,22.65474102
0.002,0.112,21.74907792
0.002,0.113,20.87883477
0.002,0.114,20.04309751
0.002,0.115,19.24098327
0.002,0.116,18.47163901
0.002,0.117,17.73424035
0.002,0.118,17.0279903
0.002,0.119,16.35211819
0.002,0.12,15.70587854
0.002,0.121,15.08855009
0.002,0.122,14.49943478
0.002,0.123,13.93785686
0.002,0.124,13.40316199
0.002,0.125,12.89471639
0.002,0.126,12.41190605
0.002,0.127,11.95413596
0.002,0.128,11.5208294
0.002,0.129,11.1114272
0.002,0.13,10.72538713
0.002,0.131,10.36218322
