p_low,p_high,p_avg,F_mu,dF_mu,rel_err,N_obs,rel_accept
0.2,0.5,0.34,0.00392,0.00062,16.0,125.0,0.83
0.5,0.8,0.64,0.00359,0.00049,13.5,121.0,0.91
0.8,2.0,1.32,0.00257,0.00029,11.3,360.0,0.96
2.0,4.0,2.86,0.00111,0.00013000000000000002,11.7,259.0,1.0
4.0,6.0,4.91,0.000413,5.9e-05,14.0,96.0,1.0
0.98,1.24,1.11,0.0029,0.0002,6.8,6030.0,1.0
0.2,0.4,0.29,0.00357,0.00035,9.7,224.0,0.79
0.4,0.6,0.5,0.0037,0.00035,9.4,270.0,0.92
0.6,1.0,0.79,0.0034100000000000003,0.00028000000000000003,8.3,524.0,0.97
1.0,1.5,1.24,0.0027300000000000002,0.00023,8.3,537.0,1.0
1.5,2.5,1.95,0.00173,0.00015,8.1,685.0,1.0
2.5,4.0,3.17,0.0007920000000000001,6.500000000000001e-05,8.3,471.0,1.0
4.0,6.0,4.91,0.00042400000000000006,3.7e-05,8.8,337.0,1.0
6.0,10.0,7.76,0.00018400000000000003,1.7000000000000003e-05,9.3,292.0,1.0
10.0,13.0,11.4,0.000113,1.0000000000000002e-06,1.1,7670.0,0.73
13.0,17.0,14.8,6.0400000000000004e-05,8.000000000000001e-07,1.2,6470.0,0.86
17.0,25.0,20.5,2.51e-05,3.0000000000000004e-07,1.3,5931.0,0.95
25.0,40.0,31.4,8.01e-06,1.3e-07,1.8,3754.0,1.0
40.0,70.0,52.3,1.89e-06,5e-08,2.4,1767.0,1.0
70.0,128.0,93.0,3.38e-07,1.4000000000000001e-08,4.0,613.0,1.0
128.0,250.0,175.0,5.190000000000001e-08,3.7e-09,7.1,198.0,1.0
250.0,450.0,329.0,7.840000000000001e-09,1.1200000000000003e-09,14.3,49.0,1.0
450.0,1000.0,642.0,6.400000000000001e-10,1.92e-10,30.2,11.0,1.0
