p_avg,N_obs,F_mu,dF_mu
5.66,1643,0.000383,9.575e-06
7.2,2627,0.000242,4.84e-06
8.35,2633,0.000192,3.8400000000000005e-06
9.71,3318,0.00014,2.38e-06
11.8,3989,9.43e-05,1.5088e-06
14.0,2121,6.38e-05,1.4036000000000002e-06
16.4,2050,4.21e-05,9.262000000000001e-07
19.7,2064,2.72e-05,5.984000000000001e-07
24.2,1555,1.41e-05,3.525e-07
29.6,1134,1.01e-05,3.03e-07
37.1,980,5.4e-06,1.728e-07
46.9,589,2.99e-06,1.2558000000000002e-07
60.0,476,1.45e-06,6.670000000000001e-08
84.0,367,5.58e-07,2.8458e-08
118.0,131,2.04e-07,1.7543999999999998e-08
167.0,84,6.09e-08,6.09e-09
260.0,52,1.96e-08,2.5480000000000003e-09
467.0,18,2.69e-09,6.994e-10
1109.0,11,1.03e-10,3.5534999999999997e-11
