p_low,p_high,p_avg,F_mu+_94,dF_mu+_94,F_mu-_94,dF_mu-_94,F_mu+_97,dF_mu+_97,F_mu-_97,dF_mu-_97
0.2,0.3,0.25,14.0,2.0,11.0,1.0,12.0,12.0,10.700000000000001,0.8999999999999999
0.3,0.4,0.35,16.8,0.8,13.600000000000001,0.7000000000000001,17.0,17.0,15.2,0.7000000000000001
0.4,0.55,0.47,17.2,0.5,14.399999999999999,0.4,20.299999999999997,20.299999999999997,17.9,0.5
0.55,0.7,0.62,16.599999999999998,0.4,13.5,0.3,21.200000000000003,21.200000000000003,18.6,0.5
0.7,0.85,0.78,15.600000000000001,0.4,13.3,0.3,20.4,20.4,17.6,0.5
0.85,1.0,0.92,14.8,0.3,12.1,0.3,19.2,19.2,16.4,0.4
1.0,1.2,1.1,13.0,0.3,11.0,0.3,17.7,17.7,14.8,0.3
1.2,1.4,1.3,12.0,0.3,10.1,0.2,15.5,15.5,12.8,0.3
1.4,1.6,1.5,10.2,0.2,8.7,0.2,13.9,13.9,11.4,0.26
1.6,2.1,1.84,9.1,0.2,7.3,0.1,0.0,0.0,9.2,0.19
2.1,2.94,2.49,6.6,0.1,5.2,0.09,7.0,7.0,5.7,0.7
2.94,4.12,3.49,4.12,0.07,3.38,0.06,4.8,4.8,3.86,0.08
4.12,5.5,4.78,2.53,0.05,1.98,0.04,2.94,2.94,2.31,0.05
5.5,7.0,6.21,1.61,0.03,1.25,0.03,1.78,1.78,1.37,0.03
7.0,10.0,8.37,0.9,0.020000000000000004,0.6900000000000001,0.010000000000000002,1.02,1.02,0.78,0.020000000000000004
10.0,15.5,12.42,0.389,0.008,0.309,0.007000000000000001,0.414,0.414,0.32000000000000006,0.007000000000000001
15.5,23.0,18.85,0.13799999999999998,0.004,0.10800000000000001,0.003,0.15400000000000003,0.15400000000000003,0.11599999999999999,0.003
23.0,31.1,26.68,0.063,0.003,0.046,0.002,0.064,0.064,0.045,0.002
31.1,43.6,36.69,0.027999999999999997,0.001,0.019,0.001,0.027999999999999997,0.027999999999999997,0.0203,0.0008
43.6,61.1,51.47,0.0099,0.0007,0.0070999999999999995,0.0006,0.010199999999999999,0.010199999999999999,0.0077,0.0004
61.1,85.6,72.08,0.0036000000000000003,0.0003,0.003,0.0003,0.004200000000000001,0.004200000000000001,0.0032,0.0002
85.6,120.0,100.96,0.0014,0.0002,0.0012,0.0002,0.0015,0.0015,0.0011,0.0001
