p_avg,F_mu,dF_mu,I_mu,dI_mu
20,2.43e-05,7e-07,0.000296,6e-06
30,8.8e-06,1.8e-07,0.000148,3e-06
40,4.06e-06,9e-08,8.67e-05,2.3e-06
50,2.2e-06,5e-08,5.7e-05,1.7e-06
60,1.31e-06,3e-08,4.02e-05,1.3e-06
70,8.43e-07,2.3e-08,2.94e-05,1e-06
80,5.71e-07,1.7e-08,2.26e-05,8e-07
90,4.04e-07,1.3e-08,1.78e-05,7e-07
100,2.96e-07,1e-08,1.42e-05,6e-07
150,8.68e-08,3.6e-09,6e-06,3.2e-07
200,3.56e-08,1.7e-09,3.18e-06,2.2e-07
300,9.77e-09,6.5e-10,1.26e-06,1.4e-07
400,3.8e-09,4.2e-10,6.46e-07,1.02e-07
500,1.79e-09,2.5e-10,3.74e-07,8.4e-08
