p_avg,F_mu,dF_mu
3.55,0.000627,6.269999999999999e-05
3.75,0.000584,3.5623999999999996e-05
4.17,0.0005030000000000001,1.9617000000000002e-05
4.71,0.00042,1.596e-05
5.26,0.000353,1.2355000000000001e-05
6.01,0.000282,8.46e-06
7.57,0.00018600000000000002,4.836000000000001e-06
9.3,0.000124,4.216000000000001e-06
11.6,7.77e-05,2.6418000000000003e-06
15.22,4.22e-05,2.0678000000000003e-06
19.2,2.4200000000000002e-05,1.2100000000000003e-06
24.0,1.39e-05,7.228000000000001e-07
33.5,5.78e-06,3.5258e-07
50.0,1.8999999999999998e-06,1.6149999999999998e-07
81.0,4.5899999999999997e-07,5.967e-08
127.0,1.1399999999999999e-07,1.824e-08
266.0,1e-08,2.4e-09
810.0,2.11e-10,5.486e-11
