p_avg,F_mu_75,dF_mu_75,N_obs
1.12,2.973e-05,4.31085e-07,4782
1.41,3.111e-05,3.32877e-07,8751
1.76,3.263e-05,2.77355e-07,13876
2.29,3.168e-05,2.24928e-07,19604
2.85,3.068e-05,1.93284e-07,25368
3.57,2.848e-05,1.6233599999999998e-07,30900
4.49,2.606e-05,1.3811800000000002e-07,36244
5.66,2.332e-05,1.14268e-07,40920
7.12,2.021e-05,9.7008e-08,44192
8.95,1.705e-05,7.843000000000001e-08,46468
11.26,1.373e-05,6.3158e-08,46910
14.17,1.07e-05,5.028999999999999e-08,45497
17.83,8.029e-06,3.8539199999999996e-08,42596
22.44,5.708e-06,2.9110800000000004e-08,37938
28.23,3.964e-06,2.1802e-08,33075
35.52,2.637e-06,1.5822e-08,27560
44.7,1.712e-06,1.1470400000000001e-08,22421
56.25,1.064e-06,8.0864e-09,17488
70.79,6.479e-07,5.57194e-09,13465
89.09,3.751e-07,3.78851e-09,9771
112.13,2.208e-07,2.6054399999999996e-09,7241
141.12,1.234e-07,1.73994e-09,5027
177.62,6.632e-08,1.1274400000000002e-09,3440
223.56,3.735e-08,7.6941e-10,2408
281.39,1.869e-08,4.72857e-10,1559
354.18,9.689e-09,3.052035e-10,1008
445.81,5.436e-09,2.1309119999999998e-10,759
625.46,1.77e-09,6.8499e-11,793
990.22,3.982e-10,2.50866e-11,370
