z,rho
0,0.3293262
0.2,0.3306447
0.4,0.3318368
0.6,0.3329492
0.8,0.3340229
1,0.3350939
1.2,0.3361931
1.4,0.3373474
1.6,0.3385793
1.8,0.3399079
2,0.3413489
2.2,0.3429148
2.4,0.3446153
2.6,0.3464579
2.8,0.3484475
3,0.3505871
3.2,0.3528778
3.4,0.3553192
3.6,0.3579093
3.8,0.3606451
4,0.3635222
4.2,0.3665354
4.4,0.3696786
4.6,0.3729452
4.8,0.3763277
5,0.3798184
5.2,0.3834092
5.4,0.3870916
5.6,0.390857
5.8,0.3946966
6,0.3986016
6.2,0.4025632
6.4,0.4065726
6.6,0.4106213
6.8,0.4147006
7,0.4188024
7.2,0.4229185
7.4,0.4270411
7.6,0.4311627
7.8,0.4352759
8,0.439374
8.2,0.4434502
8.4,0.4474984
8.6,0.4515126
8.8,0.4554873
9,0.4594173
9.2,0.4632978
9.4,0.4671244
9.6,0.470893
9.8,0.4745998
10,0.4782415
10.2,0.4818151
10.4,0.4853179
10.6,0.4887476
10.8,0.4921021
11,0.4953798
11.2,0.4985792
11.4,0.5016993
11.6,0.5047393
11.8,0.5076985
12,0.5105767
12.2,0.5133739
12.4,0.5160901
12.6,0.5187259
12.8,0.5212818
13,0.5237586
13.2,0.5261573
13.4,0.528479
13.6,0.5307251
13.8,0.5328969
14,0.5349961
14.2,0.5370243
14.4,0.5389833
14.6,0.540875
14.8,0.5427014
15,0.5444645
15.2,0.5461664
15.4,0.5478094
15.6,0.5493955
15.8,0.550927
16,0.5524062
16.2,0.5538354
16.4,0.5552169
16.6,0.5565529
16.8,0.5578457
17,0.5590977
17.2,0.560311
17.4,0.5614879
17.6,0.5626307
17.8,0.5637414
18,0.5648221
18.2,0.5658751
18.4,0.5669023
18.6,0.5679057
18.8,0.5688872
19,0.5698488
19.2,0.5707921
19.4,0.5717191
19.6,0.5726313
19.8,0.5735303
20,0.5744179
20.2,0.5752953
20.4,0.5761642
20.6,0.5770257
20.8,0.5778812
21,0.5787319
21.2,0.579579
21.4,0.5804234
21.6,0.5812663
21.8,0.5821086
22,0.5829511
22.2,0.5837946
22.4,0.5846399
22.6,0.5854876
22.8,0.5863384
23,0.5871929
23.2,0.5880515
23.4,0.5889147
23.6,0.5897828
23.8,0.5906562
24,0.5915352
24.2,0.59242
24.4,0.5933108
24.6,0.5942078
24.8,0.595111
25,0.5960205
25.2,0.5969364
25.4,0.5978585
25.6,0.598787
25.8,0.5997216
26,0.6006623
26.2,0.601609
26.4,0.6025615
26.6,0.6035196
26.8,0.6044831
27,0.6054518
27.2,0.6064254
27.4,0.6074037
27.6,0.6083865
27.8,0.6093733
28,0.6103641
28.2,0.6113584
28.4,0.612356
28.6,0.6133565
28.8,0.6143597
29,0.6153652
29.2,0.6163727
29.4,0.617382
29.6,0.6183926
29.8,0.6194044
30,0.6204169
30.2,0.62143
30.4,0.6224432
30.6,0.6234565
30.8,0.6244693
31,0.6254816
31.2,0.6264931
31.4,0.6275034
31.6,0.6285125
31.8,0.62952
32,0.6305258
32.2,0.6315296
32.4,0.6325313
32.6,0.6335308
32.8,0.6345278
33,0.6355222
33.2,0.636514
33.4,0.6375029
33.6,0.6384889
33.8,0.6394719
34,0.6404518
34.2,0.6414286
34.4,0.6424021
34.6,0.6433725
34.8,0.6443396
35,0.6453035
35.2,0.6462641
35.4,0.6472215
35.6,0.6481757
35.8,0.6491266
36,0.6500745
36.2,0.6510193
36.4,0.651961
36.6,0.6528999
36.8,0.6538358
37,0.654769
37.2,0.6556996
37.4,0.6566275
37.6,0.657553
37.8,0.6584762
38,0.6593972
38.2,0.660316
38.4,0.6612329
38.6,0.6621479
38.8,0.6630613
39,0.6639731
39.2,0.6648834
39.4,0.6657925
39.6,0.6667004
39.8,0.6676074
40,0.6685135
40.2,0.6694188
40.4,0.6703236
40.6,0.6712279
40.8,0.6721319
41,0.6730357
41.2,0.6739395
41.4,0.6748434
41.6,0.6757474
41.8,0.6766518
42,0.6775566
42.2,0.6784619
42.4,0.6793678
42.6,0.6802745
42.8,0.6811821
43,0.6820905
43.2,0.6829999
43.4,0.6839104
43.6,0.6848221
43.8,0.6857349
44,0.686649
44.2,0.6875645
44.4,0.6884812
44.6,0.6893994
44.8,0.6903189
45,0.6912399
45.2,0.6921624
45.4,0.6930863
45.6,0.6940117
45.8,0.6949386
46,0.6958669
46.2,0.6967966
46.4,0.6977278
46.6,0.6986603
46.8,0.6995942
47,0.7005295
47.2,0.701466
47.4,0.7024037
47.6,0.7033426
47.8,0.7042826
48,0.7052236
48.2,0.7061657
48.4,0.7071086
48.6,0.7080524
48.8,0.7089969
49,0.7099421
49.2,0.7108879
49.4,0.7118342
49.6,0.7127809
49.8,0.7137279
50,0.7146751
50.2,0.7156225
50.4,0.71657
50.6,0.7175173
50.8,0.7184646
51,0.7194116
51.2,0.7203582
51.4,0.7213044
51.6,0.7222501
51.8,0.7231952
52,0.7241396
52.2,0.7250831
52.4,0.7260258
52.6,0.7269675
52.8,0.7279081
53,0.7288476
53.2,0.7297858
53.4,0.7307228
53.6,0.7316584
53.8,0.7325925
54,0.7335252
54.2,0.7344563
54.4,0.7353858
54.6,0.7363135
54.8,0.7372396
55,0.7381639
55.2,0.7390864
55.4,0.7400071
55.6,0.7409258
55.8,0.7418427
56,0.7427576
56.2,0.7436706
56.4,0.7445816
56.6,0.7454907
56.8,0.7463977
57,0.7473028
57.2,0.748206
57.4,0.7491071
57.6,0.7500064
57.8,0.7509036
58,0.751799
58.2,0.7526925
58.4,0.7535841
58.6,0.7544739
58.8,0.755362
59,0.7562482
59.2,0.7571328
59.4,0.7580157
59.6,0.758897
59.8,0.7597768
60,0.7606551
60.2,0.7615319
60.4,0.7624073
60.6,0.7632814
60.8,0.7641542
61,0.7650258
61.2,0.7658963
61.4,0.7667657
61.6,0.7676341
61.8,0.7685016
62,0.7693682
62.2,0.7702339
62.4,0.771099
62.6,0.7719633
62.8,0.772827
63,0.7736902
63.2,0.7745528
63.4,0.775415
63.6,0.7762768
63.8,0.7771383
64,0.7779995
64.2,0.7788604
64.4,0.7797211
64.6,0.7805817
64.8,0.7814422
65,0.7823025
65.2,0.7831628
65.4,0.7840231
65.6,0.7848834
65.8,0.7857436
66,0.7866039
66.2,0.7874641
66.4,0.7883244
66.6,0.7891847
66.8,0.790045
67,0.7909052
67.2,0.7917654
67.4,0.7926256
67.6,0.7934856
67.8,0.7943455
